Date,Pays,Cas_Confirmes,Deces,Tests_Realises,Taux_Occupation_Hosp
2021-01-01,France,15000,120,50000,75.5
2021-01-01,Belgique,3000,40,12000,60.2
2021-01-02,France,18000,150,60000,82.0
2021-01-02,Belgique,4500,55,15000,55.0
2021-01-03,France,22000,200,75000,90.5
2021-01-03,Belgique,12000,110,40000,70.0
2021-01-04,France,5000,45,18000,58.5
2021-01-04,Belgique,25000,230,80000,95.0
2021-01-05,France,16500,130,55000,78.0
2021-01-05,Belgique,8000,90,30000,65.0
2021-01-06,France,19000,160,62000,83.5
2021-01-06,Belgique,6000,70,22000,62.0
2021-01-07,France,24000,210,78000,92.0
2021-01-07,Belgique,11000,100,38000,71.5
2021-01-08,France,13000,100,48000,72.0
2021-01-08,Belgique,4000,45,14000,57.0
2021-01-09,France,17000,140,58000,79.5
2021-01-09,Belgique,9500,95,35000,68.0
2021-01-10,France,20000,180,70000,87.0
2021-01-10,Belgique,13500,120,45000,74.0
